acq_date,latitude,longitude,brightness,scan,track,confidence,bright_t31,frp,type,month,weekofyear,season
2019-07-12,22.3319,85.1895,306.3,1.0,1.0,57.0,286.8,11.6,2.0,7,28,Summer
2019-07-13,23.77335,85.18385,318.35,1.4,1.15,66.0,289.25,16.65,2.0,7,28,Summer
2019-07-14,23.7264,86.3955,320.9,1.1,1.1,62.0,296.6,11.1,2.0,7,28,Summer
2019-07-15,24.1952,80.9271,317.6,1.8,1.3,52.0,294.3,18.2,0.0,7,29,Summer
2019-07-16,27.98545,83.00075,317.9,1.15,1.1,45.0,293.6,9.6,0.0,7,29,Summer
2019-07-17,14.4726,79.78550000000001,322.55,1.6,1.3,31.0,292.95,15.7,0.0,7,29,Summer
2019-07-18,26.841700000000003,78.3545,313.7,1.65,1.25,28.0,290.15,11.45,0.0,7,29,Summer
2019-07-19,25.53005,84.26304999999999,323.05,1.1,1.1,40.5,295.45000000000005,13.5,0.0,7,29,Summer
2019-07-20,26.1041,84.3475,318.6,1.3,1.1,42.0,294.8,13.5,0.0,7,29,Summer
2019-07-21,23.6799,86.09360000000001,315.25,1.0,1.0,43.5,291.6,5.75,2.0,7,29,Summer
2019-07-23,22.77365,76.20505,320.79999999999995,1.5499999999999998,1.25,41.5,294.15,17.950000000000003,0.0,7,30,Summer
2019-07-24,14.626449999999998,78.07405,316.95,1.25,1.1,59.0,296.29999999999995,10.05,0.0,7,30,Summer
2019-07-25,23.769150000000003,86.39115000000001,334.6,1.0,1.0,79.5,299.95000000000005,23.65,2.0,7,30,Summer
2019-07-26,13.1886,80.1355,322.4,1.3,1.1,27.0,291.0,8.7,0.0,7,30,Summer
2019-07-27,21.6494,85.59365,315.5,1.25,1.1,55.5,292.04999999999995,9.1,2.0,7,30,Summer
2019-07-28,11.72975,78.727,323.45,1.1,1.0,72.5,287.9,16.6,0.0,7,30,Summer
2019-07-29,29.4723,76.8789,317.0,1.0,1.0,50.0,298.8,6.4,2.0,7,31,Summer
2019-07-30,14.86935,78.00345,319.35,1.2000000000000002,1.05,67.0,292.6,15.8,1.0,7,31,Summer
2019-08-01,13.9703,79.0781,313.4,1.0,1.0,87.0,292.1,9.4,0.0,8,31,Summer
2019-08-02,13.9601,78.5158,324.4,1.0,1.0,59.0,295.6,9.7,0.0,8,31,Summer
2019-08-03,22.5693,82.97485,302.70000000000005,1.2999999999999998,1.15,34.0,286.0,6.0,2.0,8,31,Summer
2019-08-04,12.1435,78.9886,320.2,1.0,1.0,67.0,293.3,9.7,0.0,8,31,Summer
2019-08-05,21.87625,86.10665,314.15,1.45,1.2,42.0,281.75,12.2,2.0,8,32,Summer
2019-08-06,9.450700000000001,77.80725000000001,332.5,1.55,1.25,78.0,303.70000000000005,31.8,0.0,8,32,Summer
2019-08-07,23.7969,86.393,314.6,1.0,1.0,58.0,291.9,10.5,2.0,8,32,Summer
2019-08-08,20.9643,82.7165,320.5,1.2,1.1,61.0,292.9,16.1,2.0,8,32,Summer
2019-08-09,24.2021,82.7308,312.0,1.5,1.2,43.0,292.6,10.5,2.0,8,32,Summer
2019-08-10,25.3099,84.6546,321.5,1.4,1.2,38.0,293.8,13.6,0.0,8,32,Summer
2019-08-11,22.5662,85.176,304.2,1.8,1.3,33.0,282.0,9.1,2.0,8,32,Summer
2019-08-12,23.77635,86.39189999999999,300.4,1.8,1.3,9.0,273.55,8.05,2.0,8,33,Summer
2019-08-13,23.7258,85.1744,315.4,1.1,1.0,42.0,289.4,7.0,2.0,8,33,Summer
2019-08-14,23.7759,86.3854,314.5,1.5,1.2,40.0,292.9,10.2,2.0,8,33,Summer
2019-08-15,24.2027,82.7163,315.0,1.1,1.0,30.0,291.3,7.2,2.0,8,33,Summer
2019-08-16,20.9652,85.252,312.8,1.1,1.1,76.0,292.2,9.3,2.0,8,33,Summer
2019-08-17,24.203400000000002,82.71955,318.8,1.6,1.2,48.5,295.20000000000005,15.950000000000001,2.0,8,33,Summer
2019-08-18,23.775100000000002,86.38839999999999,309.70000000000005,1.3,1.1,59.5,288.35,10.95,2.0,8,33,Summer
2019-08-19,27.8767,79.0116,314.0,2.2,1.4,42.0,292.6,16.9,0.0,8,34,Summer
2019-08-20,10.9445,78.2284,321.1,1.2,1.1,71.0,290.4,12.6,0.0,8,34,Summer
